Comparison ^nn++++=Comparison
of ^in++++=of
Hypothesis ^nn++++=Hypothesis
Testing ^vwbg+++xvbg+=Testing
in ^in++++=in
a ^at++++=a
High ^nn++++=High
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
Low ^jj++++=Low-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
Journal ^nn++++=Journal
Introduction ^nn+nom+++=Introduction
The ^ati++++=The
development ^nn+nom+++=development
of ^in++++=of
a ^at++++=a
testable ^jj+atrb+++=testable
hypothesis ^nn++++=hypothesis
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
scientific ^jj+atrb+++=scientific
method ^nn++++=method
and ^cc++++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
key ^jjb+atrb+++=key
characteristic ^nn++++=characteristic
of ^in++++=of
good ^jj+atrb+++=good
science ^nn+nom+++=science.
. ^zz++++=EXTRAWORD
Hypotheses ^nns+nom+++=Hypotheses
help ^vb++++=help
to ^to+vcmp+++=to
define ^vbi++++=define
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
research ^nn++++=research
and ^cc++++=and
create ^vb++++=create
experiments ^nns+nom+++=experiments
that ^tht+rel+subj++=that
can ^md+pos+++=can
provide ^vb+vsua+++=provide
answers ^nns+nom+++=answers
to ^in++++=to
meaningful ^jj+atrb+++=meaningful
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
well ^rb++++=well-defined
- ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=EXTRAWORD
hypotheses ^nns+nom+++=hypotheses
researchers ^nns+nom+++=researchers
run ^vbd+++xvbn+=run
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
making ^xvbg+++xvbg+=making
erroneous ^jj+atrb+++=erroneous
conclusions ^nns++++=conclusions
from ^in++++=from
data ^nns++++=data
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
collected ^vbd+++xvbn+=collected
in ^in++++=in
an ^at++++=an
experiment ^nn+nom+++=experiment
appropriately ^rb++++=appropriately
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
test ^vb++++=test
for ^in++++=for
those ^dt+dem+++=those
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study
I ^pp1a+pp1+++=I
examined ^vbd+++xvbnx+=examined
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
frequency ^nn++++=frequency
of ^in++++=of
hypothesis ^nn++++=hypothesis
testing ^vwbg+++xvbg+=testing
between ^in++++=between
two ^cd++++=two
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hypothesized ^vbd+++xvbnx+=hypothesized
that ^tht+vcmp+++=that
the ^ati++++=the
best ^jjt+atrb+++=best
quality ^nn+nom+++=quality
journals ^nns+nom+++=journals
would ^md+prd+++=would
be ^vb+be+vrb++=be
most ^ql+emph+++=most
selective ^jj++++=selective
in ^in++++=in
accepting ^xvbg+++xvbg+=accepting
submissions ^nns++++=submissions
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
would ^md+prd+++=would
be ^vb+be+vrb++=be
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
publish ^vbi++++=publish
articles ^nns++++=articles
which ^whp+rel+subj++=which
strongly ^rb+amp+++=strongly
adhere ^vb++++=adhere
to ^in++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
method ^nn++++=method.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
predicted ^vbd+vpub++xvbnx+=predicted
that ^tht+vcmp+++=that
the ^ati++++=the
highest ^jjt+atrb+++=highest
quality ^nn+nom+++=quality
journals ^nns+nom+++=journals
would ^md+prd+++=would
have ^vb+hv+vrb++=have
more ^ql++++=more
articles ^nns++++=articles
with ^in++++=with
a ^at++++=a
clearly ^rb++++=clearly
defined ^jj+atrb++xvbn+=defined
hypothesis ^nn++++=hypothesis
than ^in++++=than
lower ^jjr+atrb+++=lower
quality ^nn+nom+++=quality
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
quantitative ^jj+atrb+++=quantitative
measure ^nn++++=measure
of ^in++++=of
journal ^nn++++=journal
quality ^nn+nom+++=quality
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
the ^ati++++=the
journal ^nn++++=journal
impact ^nn++++=impact
factor ^nn++++=factor
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
Isi ^np+++??+=ISI
as ^in+strn+++=as,
, ^zz++++=EXTRAWORD
' ^zz++++='a
a ^at++++=EXTRAWORD
measure ^nn++++=measure
of ^in++++=of
the ^ati++++=the
frequency ^nn++++=frequency
with ^in++++=with
which ^whp+rel+pied++=which
the ^ati++++=the
' ^zz++++='average
average ^jj+atrb+++=EXTRAWORD
article ^nn++++=article'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
journal ^nn++++=journal
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
cited ^vpsv++agls+xvbnx+=cited
in ^in++++=in
a ^at++++=a
particular ^jj+atrb+++=particular
year ^nn++++=year
or ^cc++++=or
period ^nn++++=period'
' ^zz++++=EXTRAWORD
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
Scientific ^jj+atrb+++=Scientific
website ^nn++++=website).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
rating ^nn++++=rating
is ^vbz+bez+aux++=is
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
dividing ^xvbg+++xvbg+=dividing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
times ^nns++++=times
articles ^nns++++=articles
from ^in++++=from
the ^ati++++=the
previous ^jj++++=previous
two ^cd++++=two
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
journal ^nn++++=journal
were ^vbd+bed+aux++=were
cited ^vpsv++agls+xvbnx+=cited
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
year ^nn++++=year
by ^in++++=by
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
previous ^jj++++=previous
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
impact ^nn++++=impact
factor ^nn++++=factor
as ^in++++=as
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
journal ^nn++++=journal
quality ^nn+nom+++=quality
is ^vbz+bez+vrb++=is
controversial ^jj+pred+++=controversial
in ^in++++=in
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
number ^nn++++=number
of ^in++++=of
concerns ^nns++++=concerns
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++agls+xvbnx+=raised
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
purposes ^nns++++=purposes
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
the ^ati++++=the
best ^jjt+atrb+++=best
objective ^nn++++=objective
and ^cc++++=and
quantifiable ^jj+atrb+++=quantifiable
measure ^nn++++=measure
of ^in++++=of
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
Methods ^nns++++=Methods
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
my ^pp$+pp1+++=my
prediction ^nn+nom+++=prediction
that ^tht+ncmp+obj++=that
articles ^nns++++=articles
from ^in++++=from
higher ^jjr++++=higher-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journals ^nns+nom+++=journals
would ^md+prd+++=would
have ^vb+hv+vrb++=have
clearer ^jjr++++=clearer
a ^at++++=a
priori ^jj+atrb+++=priori
hypotheses ^nns+nom+++=hypotheses,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
examined ^vbd+++xvbnx+=examined
five ^cd++++=five
articles ^nns++++=articles
from ^in++++=from
each ^dt++++=each
of ^in++++=of
two ^cd++++=two
different ^jj+atrb+++=different
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journal ^nn++++=journal
I ^pp1a+pp1+++=I
selected ^vbd+++xvbnx+=selected
Ecology ^np+++??+=Ecology,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
top ^jjb++++=top
ten ^cd++++=ten
of ^in++++=of
ecology ^nn+++??+=ecology
journals ^nns+nom+++=journals
with ^in++++=with
an ^at++++=an
impact ^nn++++=impact
factor ^nn++++=factor
of ^in++++=of
3.7 ^cd++++=3.7.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
comparatively ^rb++++=comparatively
lower ^jjr++++=lower-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journal ^nn++++=journal
I ^pp1a+pp1+++=I
selected ^vbd+++xvbnx+=selected
Plant ^nn++++=Plant
Ecology ^np+++??+=Ecology,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
impact ^nn++++=impact
factor ^nn++++=factor
of ^in++++=of
1.28 ^cd++++=1.28.
. ^zz++++=EXTRAWORD
Articles ^nns++++=Articles
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
based ^xvbn+++xvbn+=based
on ^in++++=on
time ^nn++++=time
of ^in++++=of
publication ^nn+nom+++=publication
( ^zz++++=(2000-2005
2000 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2005 ^cd++++=EXTRAWORD
only ^rb+down+++=only)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subject ^nn++++=subject
matter ^nn++++=matter
( ^zz++++=(invasive
invasive ^jj+atrb+++=EXTRAWORD
plant ^nn++++=plant
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
evaluating ^xvbg+++xvbg+=evaluating
each ^dt++++=each
article ^nn++++=article
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
clarity ^nn+nom+++=clarity
of ^in++++=of
the ^ati++++=the
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assigned ^vbd+++xvbnx+=assigned
each ^dt++++=each
article ^nn++++=article
a ^at++++=a
rating ^nn++++=rating
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
3 ^zz++++=3.
